"id","pokemon","height","weight","base_experience","type_1","type_2","attack","defense","hp","special_attack","special_defense","speed"
31,"nidoqueen",13,600,227,"poison","ground",92,87,90,75,85,76
32,"nidoran-m",5,90,55,"poison",NA,57,40,46,40,40,50
33,"nidorino",9,195,128,"poison",NA,72,57,61,55,55,65
34,"nidoking",14,620,227,"poison","ground",102,77,81,85,75,85
35,"clefairy",6,75,113,"fairy",NA,45,48,70,60,65,35
36,"clefable",13,400,217,"fairy",NA,70,73,95,95,90,60
37,"vulpix",6,99,60,"fire",NA,41,40,38,50,65,65
38,"ninetales",11,199,177,"fire",NA,76,75,73,81,100,100
39,"jigglypuff",5,55,95,"normal","fairy",45,20,115,45,25,20
40,"wigglytuff",10,120,196,"normal","fairy",70,45,140,85,50,45
41,"zubat",8,75,49,"poison","flying",45,35,40,30,40,55
42,"golbat",16,550,159,"poison","flying",80,70,75,65,75,90
43,"oddish",5,54,64,"grass","poison",50,55,45,75,65,30
44,"gloom",8,86,138,"grass","poison",65,70,60,85,75,40
45,"vileplume",12,186,221,"grass","poison",80,85,75,110,90,50
46,"paras",3,54,57,"bug","grass",70,55,35,45,55,25
47,"parasect",10,295,142,"bug","grass",95,80,60,60,80,30
48,"venonat",10,300,61,"bug","poison",55,50,60,40,55,45
49,"venomoth",15,125,158,"bug","poison",65,60,70,90,75,90
50,"diglett",2,8,53,"ground",NA,55,25,10,35,45,95
51,"dugtrio",7,333,142,"ground",NA,80,50,35,50,70,120
52,"meowth",4,42,58,"normal",NA,45,35,40,40,40,90
53,"persian",10,320,154,"normal",NA,70,60,65,65,65,115
54,"psyduck",8,196,64,"water",NA,52,48,50,65,50,55
55,"golduck",17,766,175,"water",NA,82,78,80,95,80,85
56,"mankey",5,280,61,"fighting",NA,80,35,40,35,45,70
57,"primeape",10,320,159,"fighting",NA,105,60,65,60,70,95
58,"growlithe",7,190,70,"fire",NA,70,45,55,70,50,60
59,"arcanine",19,1550,194,"fire",NA,110,80,90,100,80,95
60,"poliwag",6,124,60,"water",NA,50,40,40,40,40,90
61,"poliwhirl",10,200,135,"water",NA,65,65,65,50,50,90
62,"poliwrath",13,540,230,"water","fighting",95,95,90,70,90,70
63,"abra",9,195,62,"psychic",NA,20,15,25,105,55,90
64,"kadabra",13,565,140,"psychic",NA,35,30,40,120,70,105
65,"alakazam",15,480,225,"psychic",NA,50,45,55,135,95,120
66,"machop",8,195,61,"fighting",NA,80,50,70,35,35,35
67,"machoke",15,705,142,"fighting",NA,100,70,80,50,60,45
68,"machamp",16,1300,227,"fighting",NA,130,80,90,65,85,55
69,"bellsprout",7,40,60,"grass","poison",75,35,50,70,30,40
70,"weepinbell",10,64,137,"grass","poison",90,50,65,85,45,55
71,"victreebel",17,155,221,"grass","poison",105,65,80,100,70,70
72,"tentacool",9,455,67,"water","poison",40,35,40,50,100,70
73,"tentacruel",16,550,180,"water","poison",70,65,80,80,120,100
74,"geodude",4,200,60,"rock","ground",80,100,40,30,30,20
75,"graveler",10,1050,137,"rock","ground",95,115,55,45,45,35
76,"golem",14,3000,223,"rock","ground",120,130,80,55,65,45
77,"ponyta",10,300,82,"fire",NA,85,55,50,65,65,90
78,"rapidash",17,950,175,"fire",NA,100,70,65,80,80,105
79,"slowpoke",12,360,63,"water","psychic",65,65,90,40,40,15
80,"slowbro",16,785,172,"water","psychic",75,110,95,100,80,30
81,"magnemite",3,60,65,"electric","steel",35,70,25,95,55,45
82,"magneton",10,600,163,"electric","steel",60,95,50,120,70,70
83,"farfetchd",8,150,123,"normal","flying",65,55,52,58,62,60
84,"doduo",14,392,62,"normal","flying",85,45,35,35,35,75
85,"dodrio",18,852,161,"normal","flying",110,70,60,60,60,100
86,"seel",11,900,65,"water",NA,45,55,65,45,70,45
87,"dewgong",17,1200,166,"water","ice",70,80,90,70,95,70
88,"grimer",9,300,65,"poison",NA,80,50,80,40,50,25
89,"muk",12,300,175,"poison",NA,105,75,105,65,100,50
90,"shellder",3,40,61,"water",NA,65,100,30,45,25,40
91,"cloyster",15,1325,184,"water","ice",95,180,50,85,45,70
92,"gastly",13,1,62,"ghost","poison",35,30,30,100,35,80
93,"haunter",16,1,142,"ghost","poison",50,45,45,115,55,95
94,"gengar",15,405,225,"ghost","poison",65,60,60,130,75,110
95,"onix",88,2100,77,"rock","ground",45,160,35,30,45,70
96,"drowzee",10,324,66,"psychic",NA,48,45,60,43,90,42
97,"hypno",16,756,169,"psychic",NA,73,70,85,73,115,67
98,"krabby",4,65,65,"water",NA,105,90,30,25,25,50
99,"kingler",13,600,166,"water",NA,130,115,55,50,50,75
100,"voltorb",5,104,66,"electric",NA,30,50,40,55,55,100
101,"electrode",12,666,168,"electric",NA,50,70,60,80,80,140
102,"exeggcute",4,25,65,"grass","psychic",40,80,60,60,45,40
103,"exeggutor",20,1200,182,"grass","psychic",95,85,95,125,65,55
104,"cubone",4,65,64,"ground",NA,50,95,50,40,50,35
105,"marowak",10,450,149,"ground",NA,80,110,60,50,80,45
106,"hitmonlee",15,498,159,"fighting",NA,120,53,50,35,110,87
107,"hitmonchan",14,502,159,"fighting",NA,105,79,50,35,110,76
108,"lickitung",12,655,77,"normal",NA,55,75,90,60,75,30
109,"koffing",6,10,68,"poison",NA,65,95,40,60,45,35
110,"weezing",12,95,172,"poison",NA,90,120,65,85,70,60
111,"rhyhorn",10,1150,69,"ground","rock",85,95,80,30,30,25
112,"rhydon",19,1200,170,"ground","rock",130,120,105,45,45,40
113,"chansey",11,346,395,"normal",NA,5,5,250,35,105,50
114,"tangela",10,350,87,"grass",NA,55,115,65,100,40,60
115,"kangaskhan",22,800,172,"normal",NA,95,80,105,40,80,90
116,"horsea",4,80,59,"water",NA,40,70,30,70,25,60
117,"seadra",12,250,154,"water",NA,65,95,55,95,45,85
118,"goldeen",6,150,64,"water",NA,67,60,45,35,50,63
119,"seaking",13,390,158,"water",NA,92,65,80,65,80,68
120,"staryu",8,345,68,"water",NA,45,55,30,70,55,85
121,"starmie",11,800,182,"water","psychic",75,85,60,100,85,115
122,"mr-mime",13,545,161,"psychic","fairy",45,65,40,100,120,90
123,"scyther",15,560,100,"bug","flying",110,80,70,55,80,105
124,"jynx",14,406,159,"ice","psychic",50,35,65,115,95,95
125,"electabuzz",11,300,172,"electric",NA,83,57,65,95,85,105
126,"magmar",13,445,173,"fire",NA,95,57,65,100,85,93
127,"pinsir",15,550,175,"bug",NA,125,100,65,55,70,85
128,"tauros",14,884,172,"normal",NA,100,95,75,40,70,110
129,"magikarp",9,100,40,"water",NA,10,55,20,15,20,80
130,"gyarados",65,2350,189,"water","flying",125,79,95,60,100,81
131,"lapras",25,2200,187,"water","ice",85,80,130,85,95,60
132,"ditto",3,40,101,"normal",NA,48,48,48,48,48,48
133,"eevee",3,65,65,"normal",NA,55,50,55,45,65,55
134,"vaporeon",10,290,184,"water",NA,65,60,130,110,95,65
135,"jolteon",8,245,184,"electric",NA,65,60,65,110,95,130
136,"flareon",9,250,184,"fire",NA,130,60,65,95,110,65
137,"porygon",8,365,79,"normal",NA,60,70,65,85,75,40
138,"omanyte",4,75,71,"rock","water",40,100,35,90,55,35
139,"omastar",10,350,173,"rock","water",60,125,70,115,70,55
140,"kabuto",5,115,71,"rock","water",80,90,30,55,45,55
141,"kabutops",13,405,173,"rock","water",115,105,60,65,70,80
142,"aerodactyl",18,590,180,"rock","flying",105,65,80,60,75,130
143,"snorlax",21,4600,189,"normal",NA,110,65,160,65,110,30
144,"articuno",17,554,261,"ice","flying",85,100,90,95,125,85
145,"zapdos",16,526,261,"electric","flying",90,85,90,125,90,100
146,"moltres",20,600,261,"fire","flying",100,90,90,125,85,90
147,"dratini",18,33,60,"dragon",NA,64,45,41,50,50,50
148,"dragonair",40,165,147,"dragon",NA,84,65,61,70,70,70
149,"dragonite",22,2100,270,"dragon","flying",134,95,91,100,100,80
150,"mewtwo",20,1220,306,"psychic",NA,110,90,106,154,90,130
151,"mew",4,40,270,"psychic",NA,100,100,100,100,100,100
152,"chikorita",9,64,64,"grass",NA,49,65,45,49,65,45
153,"bayleef",12,158,142,"grass",NA,62,80,60,63,80,60
154,"meganium",18,1005,236,"grass",NA,82,100,80,83,100,80
155,"cyndaquil",5,79,62,"fire",NA,52,43,39,60,50,65
156,"quilava",9,190,142,"fire",NA,64,58,58,80,65,80
157,"typhlosion",17,795,240,"fire",NA,84,78,78,109,85,100
158,"totodile",6,95,63,"water",NA,65,64,50,44,48,43
159,"croconaw",11,250,142,"water",NA,80,80,65,59,63,58
160,"feraligatr",23,888,239,"water",NA,105,100,85,79,83,78
161,"sentret",8,60,43,"normal",NA,46,34,35,35,45,20
162,"furret",18,325,145,"normal",NA,76,64,85,45,55,90
163,"hoothoot",7,212,52,"normal","flying",30,30,60,36,56,50
164,"noctowl",16,408,155,"normal","flying",50,50,100,76,96,70
165,"ledyba",10,108,53,"bug","flying",20,30,40,40,80,55
166,"ledian",14,356,137,"bug","flying",35,50,55,55,110,85
167,"spinarak",5,85,50,"bug","poison",60,40,40,40,40,30
168,"ariados",11,335,137,"bug","poison",90,70,70,60,60,40
169,"crobat",18,750,241,"poison","flying",90,80,85,70,80,130
170,"chinchou",5,120,66,"water","electric",38,38,75,56,56,67
171,"lanturn",12,225,161,"water","electric",58,58,125,76,76,67
172,"pichu",3,20,41,"electric",NA,40,15,20,35,35,60
173,"cleffa",3,30,44,"fairy",NA,25,28,50,45,55,15
174,"igglybuff",3,10,42,"normal","fairy",30,15,90,40,20,15
175,"togepi",3,15,49,"fairy",NA,20,65,35,40,65,20
176,"togetic",6,32,142,"fairy","flying",40,85,55,80,105,40
177,"natu",2,20,64,"psychic","flying",50,45,40,70,45,70
178,"xatu",15,150,165,"psychic","flying",75,70,65,95,70,95
179,"mareep",6,78,56,"electric",NA,40,40,55,65,45,35
180,"flaaffy",8,133,128,"electric",NA,55,55,70,80,60,45
181,"ampharos",14,615,230,"electric",NA,75,85,90,115,90,55
182,"bellossom",4,58,221,"grass",NA,80,95,75,90,100,50
183,"marill",4,85,88,"water","fairy",20,50,70,20,50,40
184,"azumarill",8,285,189,"water","fairy",50,80,100,60,80,50
185,"sudowoodo",12,380,144,"rock",NA,100,115,70,30,65,30
186,"politoed",11,339,225,"water",NA,75,75,90,90,100,70
187,"hoppip",4,5,50,"grass","flying",35,40,35,35,55,50
188,"skiploom",6,10,119,"grass","flying",45,50,55,45,65,80
189,"jumpluff",8,30,207,"grass","flying",55,70,75,55,95,110
190,"aipom",8,115,72,"normal",NA,70,55,55,40,55,85
191,"sunkern",3,18,36,"grass",NA,30,30,30,30,30,30
192,"sunflora",8,85,149,"grass",NA,75,55,75,105,85,30
193,"yanma",12,380,78,"bug","flying",65,45,65,75,45,95
194,"wooper",4,85,42,"water","ground",45,45,55,25,25,15
195,"quagsire",14,750,151,"water","ground",85,85,95,65,65,35
196,"espeon",9,265,184,"psychic",NA,65,60,65,130,95,110
197,"umbreon",10,270,184,"dark",NA,65,110,95,60,130,65
198,"murkrow",5,21,81,"dark","flying",85,42,60,85,42,91
199,"slowking",20,795,172,"water","psychic",75,80,95,100,110,30
200,"misdreavus",7,10,87,"ghost",NA,60,60,60,85,85,85
201,"unown",5,50,118,"psychic",NA,72,48,48,72,48,48
202,"wobbuffet",13,285,142,"psychic",NA,33,58,190,33,58,33
203,"girafarig",15,415,159,"normal","psychic",80,65,70,90,65,85
204,"pineco",6,72,58,"bug",NA,65,90,50,35,35,15
205,"forretress",12,1258,163,"bug","steel",90,140,75,60,60,40
206,"dunsparce",15,140,145,"normal",NA,70,70,100,65,65,45
207,"gligar",11,648,86,"ground","flying",75,105,65,35,65,85
208,"steelix",92,4000,179,"steel","ground",85,200,75,55,65,30
209,"snubbull",6,78,60,"fairy",NA,80,50,60,40,40,30
210,"granbull",14,487,158,"fairy",NA,120,75,90,60,60,45
211,"qwilfish",5,39,86,"water","poison",95,75,65,55,55,85
212,"scizor",18,1180,175,"bug","steel",130,100,70,55,80,65
213,"shuckle",6,205,177,"bug","rock",10,230,20,10,230,5
214,"heracross",15,540,175,"bug","fighting",125,75,80,40,95,85
215,"sneasel",9,280,86,"dark","ice",95,55,55,35,75,115
216,"teddiursa",6,88,66,"normal",NA,80,50,60,50,50,40
217,"ursaring",18,1258,175,"normal",NA,130,75,90,75,75,55
218,"slugma",7,350,50,"fire",NA,40,40,40,70,40,20
219,"magcargo",8,550,144,"fire","rock",50,120,50,80,80,30
220,"swinub",4,65,50,"ice","ground",50,40,50,30,30,50
221,"piloswine",11,558,158,"ice","ground",100,80,100,60,60,50
222,"corsola",6,50,133,"water","rock",55,85,55,65,85,35
223,"remoraid",6,120,60,"water",NA,65,35,35,65,35,65
224,"octillery",9,285,168,"water",NA,105,75,75,105,75,45
225,"delibird",9,160,116,"ice","flying",55,45,45,65,45,75
226,"mantine",21,2200,163,"water","flying",40,70,65,80,140,70
227,"skarmory",17,505,163,"steel","flying",80,140,65,40,70,70
228,"houndour",6,108,66,"dark","fire",60,30,45,80,50,65
229,"houndoom",14,350,175,"dark","fire",90,50,75,110,80,95
230,"kingdra",18,1520,243,"water","dragon",95,95,75,95,95,85
231,"phanpy",5,335,66,"ground",NA,60,60,90,40,40,40
232,"donphan",11,1200,175,"ground",NA,120,120,90,60,60,50
233,"porygon2",6,325,180,"normal",NA,80,90,85,105,95,60
234,"stantler",14,712,163,"normal",NA,95,62,73,85,65,85
235,"smeargle",12,580,88,"normal",NA,20,35,55,20,45,75
236,"tyrogue",7,210,42,"fighting",NA,35,35,35,35,35,35
237,"hitmontop",14,480,159,"fighting",NA,95,95,50,35,110,70
238,"smoochum",4,60,61,"ice","psychic",30,15,45,85,65,65
239,"elekid",6,235,72,"electric",NA,63,37,45,65,55,95
240,"magby",7,214,73,"fire",NA,75,37,45,70,55,83
241,"miltank",12,755,172,"normal",NA,80,105,95,40,70,100
242,"blissey",15,468,608,"normal",NA,10,10,255,75,135,55
243,"raikou",19,1780,261,"electric",NA,85,75,90,115,100,115
244,"entei",21,1980,261,"fire",NA,115,85,115,90,75,100
245,"suicune",20,1870,261,"water",NA,75,115,100,90,115,85
246,"larvitar",6,720,60,"rock","ground",64,50,50,45,50,41
247,"pupitar",12,1520,144,"rock","ground",84,70,70,65,70,51
248,"tyranitar",20,2020,270,"rock","dark",134,110,100,95,100,61
249,"lugia",52,2160,306,"psychic","flying",90,130,106,90,154,110
250,"ho-oh",38,1990,306,"fire","flying",130,90,106,110,154,90
251,"celebi",6,50,270,"psychic","grass",100,100,100,100,100,100
252,"treecko",5,50,62,"grass",NA,45,35,40,65,55,70
253,"grovyle",9,216,142,"grass",NA,65,45,50,85,65,95
254,"sceptile",17,522,239,"grass",NA,85,65,70,105,85,120
255,"torchic",4,25,62,"fire",NA,60,40,45,70,50,45
256,"combusken",9,195,142,"fire","fighting",85,60,60,85,60,55
257,"blaziken",19,520,239,"fire","fighting",120,70,80,110,70,80
258,"mudkip",4,76,62,"water",NA,70,50,50,50,50,40
259,"marshtomp",7,280,142,"water","ground",85,70,70,60,70,50
260,"swampert",15,819,241,"water","ground",110,90,100,85,90,60
261,"poochyena",5,136,44,"dark",NA,55,35,35,30,30,35
262,"mightyena",10,370,147,"dark",NA,90,70,70,60,60,70
263,"zigzagoon",4,175,48,"normal",NA,30,41,38,30,41,60
264,"linoone",5,325,147,"normal",NA,70,61,78,50,61,100
265,"wurmple",3,36,39,"bug",NA,45,35,45,20,30,20
266,"silcoon",6,100,72,"bug",NA,35,55,50,25,25,15
267,"beautifly",10,284,178,"bug","flying",70,50,60,100,50,65
268,"cascoon",7,115,41,"bug",NA,35,55,50,25,25,15
269,"dustox",12,316,135,"bug","poison",50,70,60,50,90,65
270,"lotad",5,26,44,"water","grass",30,30,40,40,50,30
271,"lombre",12,325,119,"water","grass",50,50,60,60,70,50
272,"ludicolo",15,550,216,"water","grass",70,70,80,90,100,70
273,"seedot",5,40,44,"grass",NA,40,50,40,30,30,30
274,"nuzleaf",10,280,119,"grass","dark",70,40,70,60,40,60
275,"shiftry",13,596,216,"grass","dark",100,60,90,90,60,80
276,"taillow",3,23,54,"normal","flying",55,30,40,30,30,85
277,"swellow",7,198,151,"normal","flying",85,60,60,50,50,125
278,"wingull",6,95,54,"water","flying",30,30,40,55,30,85
279,"pelipper",12,280,151,"water","flying",50,100,60,85,70,65
280,"ralts",4,66,40,"psychic","fairy",25,25,28,45,35,40
281,"kirlia",8,202,97,"psychic","fairy",35,35,38,65,55,50
282,"gardevoir",16,484,233,"psychic","fairy",65,65,68,125,115,80
283,"surskit",5,17,54,"bug","water",30,32,40,50,52,65
284,"masquerain",8,36,145,"bug","flying",60,62,70,80,82,60
285,"shroomish",4,45,59,"grass",NA,40,60,60,40,60,35
286,"breloom",12,392,161,"grass","fighting",130,80,60,60,60,70
287,"slakoth",8,240,56,"normal",NA,60,60,60,35,35,30
288,"vigoroth",14,465,154,"normal",NA,80,80,80,55,55,90
289,"slaking",20,1305,252,"normal",NA,160,100,150,95,65,100
290,"nincada",5,55,53,"bug","ground",45,90,31,30,30,40
291,"ninjask",8,120,160,"bug","flying",90,45,61,50,50,160
292,"shedinja",8,12,83,"bug","ghost",90,45,1,30,30,40
293,"whismur",6,163,48,"normal",NA,51,23,64,51,23,28
294,"loudred",10,405,126,"normal",NA,71,43,84,71,43,48
295,"exploud",15,840,221,"normal",NA,91,63,104,91,73,68
296,"makuhita",10,864,47,"fighting",NA,60,30,72,20,30,25
297,"hariyama",23,2538,166,"fighting",NA,120,60,144,40,60,50
298,"azurill",2,20,38,"normal","fairy",20,40,50,20,40,20
299,"nosepass",10,970,75,"rock",NA,45,135,30,45,90,30
300,"skitty",6,110,52,"normal",NA,45,45,50,35,35,50
301,"delcatty",11,326,133,"normal",NA,65,65,70,55,55,70
302,"sableye",5,110,133,"dark","ghost",75,75,50,65,65,50
303,"mawile",6,115,133,"steel","fairy",85,85,50,55,55,50
304,"aron",4,600,66,"steel","rock",70,100,50,40,40,30
305,"lairon",9,1200,151,"steel","rock",90,140,60,50,50,40
306,"aggron",21,3600,239,"steel","rock",110,180,70,60,60,50
307,"meditite",6,112,56,"fighting","psychic",40,55,30,40,55,60
308,"medicham",13,315,144,"fighting","psychic",60,75,60,60,75,80
309,"electrike",6,152,59,"electric",NA,45,40,40,65,40,65
310,"manectric",15,402,166,"electric",NA,75,60,70,105,60,105
311,"plusle",4,42,142,"electric",NA,50,40,60,85,75,95
312,"minun",4,42,142,"electric",NA,40,50,60,75,85,95
313,"volbeat",7,177,140,"bug",NA,73,55,65,47,75,85
314,"illumise",6,177,140,"bug",NA,47,55,65,73,75,85
315,"roselia",3,20,140,"grass","poison",60,45,50,100,80,65
316,"gulpin",4,103,60,"poison",NA,43,53,70,43,53,40
317,"swalot",17,800,163,"poison",NA,73,83,100,73,83,55
318,"carvanha",8,208,61,"water","dark",90,20,45,65,20,65
319,"sharpedo",18,888,161,"water","dark",120,40,70,95,40,95
320,"wailmer",20,1300,80,"water",NA,70,35,130,70,35,60
321,"wailord",145,3980,175,"water",NA,90,45,170,90,45,60
322,"numel",7,240,61,"fire","ground",60,40,60,65,45,35
323,"camerupt",19,2200,161,"fire","ground",100,70,70,105,75,40
324,"torkoal",5,804,165,"fire",NA,85,140,70,85,70,20
325,"spoink",7,306,66,"psychic",NA,25,35,60,70,80,60
326,"grumpig",9,715,165,"psychic",NA,45,65,80,90,110,80
327,"spinda",11,50,126,"normal",NA,60,60,60,60,60,60
328,"trapinch",7,150,58,"ground",NA,100,45,45,45,45,10
329,"vibrava",11,153,119,"ground","dragon",70,50,50,50,50,70
330,"flygon",20,820,234,"ground","dragon",100,80,80,80,80,100
331,"cacnea",4,513,67,"grass",NA,85,40,50,85,40,35
332,"cacturne",13,774,166,"grass","dark",115,60,70,115,60,55
333,"swablu",4,12,62,"normal","flying",40,60,45,40,75,50
334,"altaria",11,206,172,"dragon","flying",70,90,75,70,105,80
335,"zangoose",13,403,160,"normal",NA,115,60,73,60,60,90
336,"seviper",27,525,160,"poison",NA,100,60,73,100,60,65
337,"lunatone",10,1680,154,"rock","psychic",55,65,70,95,85,70
338,"solrock",12,1540,154,"rock","psychic",95,85,70,55,65,70
339,"barboach",4,19,58,"water","ground",48,43,50,46,41,60
340,"whiscash",9,236,164,"water","ground",78,73,110,76,71,60
341,"corphish",6,115,62,"water",NA,80,65,43,50,35,35
342,"crawdaunt",11,328,164,"water","dark",120,85,63,90,55,55
343,"baltoy",5,215,60,"ground","psychic",40,55,40,40,70,55
344,"claydol",15,1080,175,"ground","psychic",70,105,60,70,120,75
345,"lileep",10,238,71,"rock","grass",41,77,66,61,87,23
346,"cradily",15,604,173,"rock","grass",81,97,86,81,107,43
347,"anorith",7,125,71,"rock","bug",95,50,45,40,50,75
348,"armaldo",15,682,173,"rock","bug",125,100,75,70,80,45
349,"feebas",6,74,40,"water",NA,15,20,20,10,55,80
350,"milotic",62,1620,189,"water",NA,60,79,95,100,125,81
351,"castform",3,8,147,"normal",NA,70,70,70,70,70,70
352,"kecleon",10,220,154,"normal",NA,90,70,60,60,120,40
353,"shuppet",6,23,59,"ghost",NA,75,35,44,63,33,45
354,"banette",11,125,159,"ghost",NA,115,65,64,83,63,65
355,"duskull",8,150,59,"ghost",NA,40,90,20,30,90,25
356,"dusclops",16,306,159,"ghost",NA,70,130,40,60,130,25
357,"tropius",20,1000,161,"grass","flying",68,83,99,72,87,51
358,"chimecho",6,10,149,"psychic",NA,50,70,65,95,80,65
359,"absol",12,470,163,"dark",NA,130,60,65,75,60,75
360,"wynaut",6,140,52,"psychic",NA,23,48,95,23,48,23
361,"snorunt",7,168,60,"ice",NA,50,50,50,50,50,50
362,"glalie",15,2565,168,"ice",NA,80,80,80,80,80,80
363,"spheal",8,395,58,"ice","water",40,50,70,55,50,25
364,"sealeo",11,876,144,"ice","water",60,70,90,75,70,45
365,"walrein",14,1506,239,"ice","water",80,90,110,95,90,65
366,"clamperl",4,525,69,"water",NA,64,85,35,74,55,32
367,"huntail",17,270,170,"water",NA,104,105,55,94,75,52
368,"gorebyss",18,226,170,"water",NA,84,105,55,114,75,52
369,"relicanth",10,234,170,"water","rock",90,130,100,45,65,55
370,"luvdisc",6,87,116,"water",NA,30,55,43,40,65,97
371,"bagon",6,421,60,"dragon",NA,75,60,45,40,30,50
372,"shelgon",11,1105,147,"dragon",NA,95,100,65,60,50,50
373,"salamence",15,1026,270,"dragon","flying",135,80,95,110,80,100
374,"beldum",6,952,60,"steel","psychic",55,80,40,35,60,30
375,"metang",12,2025,147,"steel","psychic",75,100,60,55,80,50
376,"metagross",16,5500,270,"steel","psychic",135,130,80,95,90,70
377,"regirock",17,2300,261,"rock",NA,100,200,80,50,100,50
378,"regice",18,1750,261,"ice",NA,50,100,80,100,200,50
379,"registeel",19,2050,261,"steel",NA,75,150,80,75,150,50
380,"latias",14,400,270,"dragon","psychic",80,90,80,110,130,110
381,"latios",20,600,270,"dragon","psychic",90,80,80,130,110,110
382,"kyogre",45,3520,302,"water",NA,100,90,100,150,140,90
383,"groudon",35,9500,302,"ground",NA,150,140,100,100,90,90
384,"rayquaza",70,2065,306,"dragon","flying",150,90,105,150,90,95
385,"jirachi",3,11,270,"steel","psychic",100,100,100,100,100,100
386,"deoxys-normal",17,608,270,"psychic",NA,150,50,50,150,50,150
387,"turtwig",4,102,64,"grass",NA,68,64,55,45,55,31
388,"grotle",11,970,142,"grass",NA,89,85,75,55,65,36
389,"torterra",22,3100,236,"grass","ground",109,105,95,75,85,56
390,"chimchar",5,62,62,"fire",NA,58,44,44,58,44,61
391,"monferno",9,220,142,"fire","fighting",78,52,64,78,52,81
392,"infernape",12,550,240,"fire","fighting",104,71,76,104,71,108
393,"piplup",4,52,63,"water",NA,51,53,53,61,56,40
394,"prinplup",8,230,142,"water",NA,66,68,64,81,76,50
395,"empoleon",17,845,239,"water","steel",86,88,84,111,101,60
396,"starly",3,20,49,"normal","flying",55,30,40,30,30,60
397,"staravia",6,155,119,"normal","flying",75,50,55,40,40,80
398,"staraptor",12,249,218,"normal","flying",120,70,85,50,60,100
399,"bidoof",5,200,50,"normal",NA,45,40,59,35,40,31
400,"bibarel",10,315,144,"normal","water",85,60,79,55,60,71
401,"kricketot",3,22,39,"bug",NA,25,41,37,25,41,25
402,"kricketune",10,255,134,"bug",NA,85,51,77,55,51,65
403,"shinx",5,95,53,"electric",NA,65,34,45,40,34,45
404,"luxio",9,305,127,"electric",NA,85,49,60,60,49,60
405,"luxray",14,420,235,"electric",NA,120,79,80,95,79,70
406,"budew",2,12,56,"grass","poison",30,35,40,50,70,55
407,"roserade",9,145,232,"grass","poison",70,65,60,125,105,90
408,"cranidos",9,315,70,"rock",NA,125,40,67,30,30,58
409,"rampardos",16,1025,173,"rock",NA,165,60,97,65,50,58
410,"shieldon",5,570,70,"rock","steel",42,118,30,42,88,30
411,"bastiodon",13,1495,173,"rock","steel",52,168,60,47,138,30
412,"burmy",2,34,45,"bug",NA,29,45,40,29,45,36
413,"wormadam-plant",5,65,148,"bug","grass",59,85,60,79,105,36
414,"mothim",9,233,148,"bug","flying",94,50,70,94,50,66
415,"combee",3,55,49,"bug","flying",30,42,30,30,42,70
416,"vespiquen",12,385,166,"bug","flying",80,102,70,80,102,40
417,"pachirisu",4,39,142,"electric",NA,45,70,60,45,90,95
418,"buizel",7,295,66,"water",NA,65,35,55,60,30,85
419,"floatzel",11,335,173,"water",NA,105,55,85,85,50,115
420,"cherubi",4,33,55,"grass",NA,35,45,45,62,53,35
421,"cherrim",5,93,158,"grass",NA,60,70,70,87,78,85
422,"shellos",3,63,65,"water",NA,48,48,76,57,62,34
423,"gastrodon",9,299,166,"water","ground",83,68,111,92,82,39
