"order_id","product_id","sale_n"
"R_0011358","PD_002",8
"R_0015010","PD_085",1
"R_0024266","PD_256",4
"R_0016860","PD_183",6
"R_0006109","PD_091",6
"R_0019097","PD_115",5
"R_0043548","PD_134",3
"R_0012865","PD_173",10
"R_0037903","PD_186",4
"R_0040265","PD_259",9
"R_0000919","PD_094",5
"R_0007867","PD_173",8
"R_0029516","PD_002",6
"R_0019371","PD_094",5
"R_0039129","PD_108",1
"R_0016960","PD_201",9
"R_0023061","PD_215",10
"R_0043236","PD_262",1
"R_0016711","PD_255",3
"R_0009769","PD_217",7
"R_0003785","PD_224",3
"R_0020252","PD_115",10
"R_0021364","PD_084",10
"R_0003512","PD_256",10
"R_0031681","PD_256",3
"R_0027263","PD_201",10
"R_0012556","PD_198",5
"R_0038733","PD_090",2
"R_0026241","PD_258",9
"R_0044171","PD_269",9
"R_0035730","PD_084",7
"R_0039771","PD_197",1
"R_0006915","PD_094",1
"R_0038420","PD_125",7
"R_0041701","PD_088",1
"R_0015972","PD_218",1
"R_0020194","PD_115",3
"R_0025909","PD_125",10
"R_0032407","PD_258",7
"R_0018208","PD_109",11
"R_0039359","PD_225",11
"R_0039505","PD_124",3
"R_0023017","PD_173",1
"R_0006345","PD_268",6
"R_0016418","PD_134",9
"R_0000332","PD_078",1
"R_0035529","PD_186",9
"R_0014580","PD_201",2
"R_0008740","PD_269",1
"R_0017393","PD_077",3
"R_0017206","PD_201",5
"R_0035942","PD_216",5
"R_0032857","PD_216",6
"R_0013761","PD_135",1
"R_0033236","PD_187",4
"R_0020684","PD_262",1
"R_0008304","PD_255",10
"R_0019205","PD_078",4
"R_0011696","PD_256",11
"R_0023641","PD_183",8
"R_0023571","PD_125",2
"R_0002506","PD_255",10
"R_0014776","PD_090",1
"R_0002292","PD_201",11
"R_0041239","PD_269",6
"R_0007492","PD_186",2
"R_0033744","PD_135",11
"R_0013973","PD_258",3
"R_0013218","PD_269",6
"R_0006895","PD_088",1
"R_0008847","PD_186",1
"R_0001949","PD_115",10
"R_0039832","PD_111",10
"R_0033138","PD_088",1
"R_0010386","PD_198",6
"R_0027346","PD_087",10
"R_0007123","PD_118",6
"R_0026242","PD_258",3
"R_0042608","PD_258",8
"R_0037663","PD_093",7
"R_0038925","PD_078",1
"R_0035753","PD_078",11
"R_0017987","PD_201",1
"R_0024009","PD_091",1
"R_0006141","PD_174",11
"R_0018511","PD_114",11
"R_0024015","PD_091",1
"R_0036095","PD_197",9
"R_0023430","PD_114",1
"R_0008501","PD_085",1
"R_0016280","PD_112",1
"R_0017114","PD_109",9
"R_0040709","PD_259",1
"R_0010836","PD_216",5
"R_0032057","PD_261",11
"R_0037486","PD_173",3
"R_0000008","PD_114",10
"R_0017161","PD_201",11
"R_0036106","PD_078",8
"R_0022733","PD_173",11
"R_0006568","PD_087",8
"R_0039947","PD_091",9
"R_0044601","PD_077",11
"R_0035966","PD_255",6
"R_0027179","PD_173",3
"R_0018386","PD_002",1
"R_0019653","PD_118",8
"R_0010059","PD_134",1
"R_0001930","PD_201",10
"R_0043661","PD_186",4
"R_0031329","PD_259",5
"R_0039787","PD_198",1
"R_0041242","PD_197",10
"R_0016390","PD_261",8
"R_0025124","PD_217",1
"R_0042783","PD_184",8
"R_0017958","PD_174",5
"R_0034508","PD_111",1
"R_0041739","PD_262",7
"R_0037300","PD_077",1
"R_0012116","PD_197",1
"R_0044338","PD_255",9
"R_0023537","PD_118",11
"R_0002723","PD_003",2
"R_0011941","PD_255",1
"R_0001955","PD_093",9
"R_0001968","PD_259",3
"R_0042405","PD_078",8
"R_0018761","PD_135",6
"R_0004565","PD_258",3
"R_0009101","PD_002",1
"R_0005831","PD_118",1
"R_0014407","PD_255",11
"R_0040627","PD_174",1
"R_0015444","PD_090",2
"R_0019552","PD_215",11
"R_0015027","PD_256",6
"R_0008931","PD_187",10
"R_0014540","PD_085",9
"R_0015026","PD_197",3
"R_0007364","PD_255",10
"R_0021551","PD_259",1
"R_0008451","PD_118",5
"R_0008469","PD_085",11
"R_0021294","PD_117",3
"R_0012840","PD_186",11
"R_0023244","PD_111",7
"R_0038346","PD_084",6
"R_0017207","PD_112",11
"R_0037599","PD_117",11
"R_0014881","PD_108",2
"R_0011739","PD_259",1
"R_0024770","PD_259",3
"R_0023012","PD_078",3
"R_0012009","PD_187",3
"R_0015413","PD_216",8
"R_0026434","PD_114",2
"R_0008777","PD_003",11
"R_0041072","PD_200",10
"R_0020051","PD_173",6
"R_0016131","PD_115",6
"R_0000924","PD_186",10
"R_0029510","PD_077",10
"R_0012245","PD_173",6
"R_0025622","PD_262",2
"R_0036339","PD_187",10
"R_0020876","PD_002",4
"R_0016911","PD_255",2
"R_0024094","PD_216",6
"R_0025689","PD_118",11
"R_0018974","PD_087",1
"R_0011842","PD_111",7
"R_0026778","PD_269",10
"R_0031644","PD_268",1
"R_0019590","PD_117",9
"R_0002063","PD_084",8
"R_0039647","PD_200",6
"R_0016193","PD_216",1
"R_0029195","PD_259",6
"R_0026675","PD_198",10
"R_0012467","PD_112",10
"R_0006219","PD_124",5
"R_0001743","PD_200",10
"R_0006703","PD_259",1
"R_0042770","PD_256",2
"R_0042345","PD_135",11
"R_0043629","PD_187",1
"R_0041958","PD_261",6
"R_0040538","PD_269",1
"R_0041948","PD_186",4
"R_0008312","PD_124",6
"R_0015511","PD_258",8
"R_0017303","PD_186",11
"R_0028557","PD_094",8
"R_0000657","PD_225",7
"R_0038505","PD_124",7
"R_0021160","PD_002",1
"R_0023339","PD_117",6
"R_0039507","PD_225",10
"R_0011585","PD_198",3
"R_0024262","PD_255",9
"R_0033536","PD_197",1
"R_0018981","PD_093",1
"R_0016064","PD_224",8
"R_0002630","PD_261",1
"R_0023937","PD_200",5
"R_0018171","PD_088",11
"R_0003432","PD_183",5
"R_0007890","PD_091",9
"R_0002348","PD_184",5
"R_0021515","PD_224",7
"R_0045015","PD_174",6
"R_0008010","PD_224",11
"R_0027974","PD_268",3
"R_0006659","PD_087",10
"R_0043384","PD_002",6
"R_0018258","PD_125",10
"R_0035238","PD_174",2
"R_0028169","PD_174",6
"R_0035034","PD_091",3
"R_0012222","PD_186",9
"R_0042351","PD_225",1
"R_0023055","PD_201",3
"R_0031521","PD_078",6
"R_0014493","PD_003",6
"R_0042914","PD_091",11
"R_0035975","PD_003",3
"R_0025645","PD_124",9
"R_0007455","PD_135",1
"R_0001313","PD_090",2
"R_0011208","PD_215",1
"R_0035358","PD_084",11
"R_0026015","PD_112",9
"R_0007981","PD_269",6
"R_0041751","PD_173",6
"R_0004378","PD_124",1
"R_0000207","PD_216",10
"R_0026281","PD_112",3
"R_0003289","PD_259",6
"R_0024262","PD_261",11
"R_0003353","PD_111",10
"R_0020789","PD_091",6
"R_0030888","PD_118",9
"R_0022036","PD_125",1
"R_0038134","PD_183",7
"R_0021808","PD_109",1
"R_0038632","PD_088",10
"R_0022938","PD_124",6
"R_0016081","PD_087",10
"R_0015001","PD_090",10
"R_0031551","PD_077",3
"R_0018086","PD_217",9
"R_0014318","PD_255",5
"R_0042189","PD_114",1
"R_0037419","PD_108",6
"R_0031696","PD_093",6
"R_0036106","PD_077",5
"R_0042357","PD_186",5
"R_0010902","PD_087",10
"R_0000765","PD_215",8
"R_0034712","PD_217",1
"R_0023772","PD_084",2
"R_0028208","PD_262",3
"R_0027855","PD_224",9
"R_0014080","PD_256",8
"R_0028740","PD_200",10
"R_0028661","PD_255",1
"R_0016239","PD_201",11
"R_0036211","PD_090",3
"R_0021459","PD_262",3
"R_0009837","PD_125",10
"R_0024141","PD_225",1
"R_0030693","PD_003",2
"R_0022637","PD_215",5
"R_0016429","PD_183",6
"R_0025628","PD_118",10
"R_0019680","PD_124",1
"R_0016009","PD_197",7
"R_0044085","PD_085",5
"R_0011529","PD_108",10
"R_0029646","PD_002",3
"R_0011265","PD_173",10
"R_0029388","PD_200",1
"R_0040259","PD_117",1
"R_0008053","PD_114",6
"R_0016118","PD_087",1
"R_0032659","PD_216",9
"R_0012695","PD_118",11
"R_0044607","PD_002",1
"R_0021169","PD_218",5
"R_0024842","PD_084",2
"R_0020490","PD_088",7
"R_0036935","PD_173",3
"R_0005245","PD_134",5
"R_0002227","PD_108",11
"R_0023520","PD_117",2
"R_0023168","PD_198",1
"R_0036409","PD_087",4
"R_0029073","PD_087",1
"R_0023112","PD_256",2
"R_0039715","PD_255",9
"R_0021624","PD_125",5
"R_0022807","PD_091",3
"R_0008417","PD_197",1
"R_0030371","PD_108",10
"R_0005912","PD_187",8
"R_0044832","PD_261",1
"R_0042806","PD_085",10
"R_0002339","PD_094",11
"R_0003781","PD_002",11
"R_0009443","PD_002",9
"R_0023559","PD_003",3
"R_0039392","PD_077",5
"R_0021319","PD_262",3
"R_0024780","PD_259",6
"R_0023151","PD_090",9
"R_0025435","PD_134",5
"R_0030928","PD_002",9
"R_0041233","PD_224",2
"R_0017092","PD_077",6
"R_0001187","PD_111",1
"R_0001862","PD_217",3
"R_0040985","PD_198",1
"R_0038658","PD_200",8
"R_0026913","PD_111",8
"R_0018495","PD_117",3
"R_0036366","PD_134",9
"R_0031491","PD_090",9
"R_0031747","PD_269",2
"R_0011482","PD_173",2
"R_0042641","PD_078",9
"R_0023533","PD_255",10
"R_0023180","PD_200",2
"R_0019907","PD_256",8
"R_0031703","PD_262",5
"R_0027539","PD_109",1
"R_0013097","PD_090",2
"R_0035930","PD_125",2
"R_0042631","PD_114",1
"R_0030233","PD_187",3
"R_0013090","PD_215",11
"R_0012338","PD_200",8
"R_0028731","PD_174",10
"R_0001361","PD_218",1
"R_0001177","PD_216",2
"R_0005929","PD_215",11
"R_0027381","PD_216",6
"R_0023263","PD_117",10
"R_0042692","PD_091",2
"R_0013907","PD_215",10
"R_0017073","PD_115",9
"R_0011215","PD_118",11
"R_0042595","PD_118",5
"R_0044297","PD_115",10
"R_0004363","PD_118",4
"R_0041674","PD_003",3
"R_0002034","PD_218",4
"R_0015308","PD_200",8
"R_0038696","PD_135",6
"R_0038903","PD_109",3
"R_0035004","PD_134",7
"R_0020206","PD_258",3
"R_0014124","PD_173",1
"R_0020684","PD_118",5
"R_0018484","PD_173",11
"R_0029058","PD_117",10
"R_0007944","PD_258",10
"R_0021747","PD_268",1
"R_0019735","PD_003",1
"R_0003166","PD_094",7
"R_0035573","PD_183",1
"R_0043199","PD_109",1
"R_0019526","PD_225",2
"R_0021551","PD_109",7
"R_0003743","PD_173",5
"R_0020457","PD_091",9
"R_0029904","PD_112",7
"R_0010126","PD_115",1
"R_0027046","PD_115",9
"R_0038734","PD_002",1
"R_0006694","PD_216",1
"R_0043355","PD_174",10
"R_0036155","PD_174",1
"R_0032367","PD_134",10
"R_0010286","PD_124",8
"R_0013188","PD_198",11
"R_0026897","PD_198",9
"R_0027461","PD_200",2
"R_0036629","PD_088",2
"R_0041918","PD_201",6
"R_0038203","PD_201",1
"R_0030115","PD_088",10
"R_0001289","PD_216",5
"R_0005218","PD_198",11
"R_0040773","PD_258",1
"R_0043481","PD_117",1
"R_0030171","PD_108",1
"R_0012701","PD_124",3
"R_0024063","PD_135",2
"R_0011571","PD_135",10
"R_0043233","PD_118",9
"R_0034342","PD_085",2
"R_0038482","PD_256",10
"R_0018129","PD_224",9
"R_0000520","PD_124",6
"R_0017342","PD_125",6
"R_0010179","PD_002",8
"R_0032706","PD_002",10
"R_0007873","PD_087",1
"R_0009547","PD_224",1
"R_0034033","PD_256",9
"R_0045000","PD_078",10
"R_0018656","PD_118",1
"R_0002509","PD_077",8
"R_0010807","PD_256",9
"R_0019349","PD_198",2
"R_0040006","PD_187",10
"R_0019878","PD_118",5
"R_0011795","PD_186",9
"R_0038446","PD_093",10
"R_0007527","PD_109",3
"R_0032578","PD_255",3
"R_0029335","PD_225",6
"R_0024847","PD_197",6
"R_0001336","PD_216",1
"R_0034910","PD_269",2
"R_0015580","PD_256",11
"R_0020173","PD_087",8
"R_0012070","PD_085",6
"R_0023921","PD_088",9
"R_0032397","PD_118",11
"R_0000263","PD_215",8
"R_0011030","PD_093",2
"R_0019729","PD_125",9
"R_0003804","PD_187",10
"R_0032861","PD_087",11
"R_0040636","PD_184",11
"R_0007828","PD_174",4
"R_0029931","PD_255",6
"R_0031833","PD_094",1
"R_0042274","PD_090",1
"R_0009209","PD_094",3
"R_0002613","PD_255",10
"R_0028179","PD_125",9
"R_0012012","PD_218",11
"R_0002954","PD_118",9
"R_0012564","PD_109",11
"R_0015086","PD_174",10
"R_0007919","PD_200",10
"R_0029334","PD_077",6
"R_0027793","PD_078",1
"R_0026850","PD_262",9
"R_0020812","PD_224",2
"R_0001455","PD_225",6
"R_0017651","PD_216",1
"R_0037868","PD_125",3
"R_0006986","PD_258",7
"R_0011339","PD_002",7
"R_0007786","PD_124",8
"R_0011395","PD_117",8
"R_0000142","PD_091",5
"R_0035205","PD_090",2
"R_0017784","PD_078",1
"R_0011283","PD_268",1
"R_0008310","PD_090",11
"R_0002007","PD_117",2
"R_0021154","PD_186",10
"R_0039619","PD_269",9
"R_0000771","PD_197",2
"R_0004689","PD_224",1
"R_0021559","PD_184",2
"R_0020776","PD_003",1
"R_0034635","PD_200",8
"R_0045011","PD_085",1
"R_0022251","PD_135",11
"R_0024789","PD_259",9
"R_0016315","PD_085",1
"R_0024224","PD_115",11
"R_0024082","PD_215",7
"R_0014890","PD_255",6
"R_0028997","PD_112",11
"R_0032687","PD_198",1
"R_0032188","PD_201",1
"R_0041855","PD_268",1
"R_0029622","PD_256",9
"R_0033948","PD_256",2
"R_0010890","PD_217",6
"R_0003853","PD_094",8
"R_0018146","PD_078",9
"R_0008060","PD_224",11
"R_0042327","PD_261",10
"R_0010677","PD_091",6
"R_0014873","PD_216",9
"R_0012080","PD_115",11
"R_0015050","PD_261",3
"R_0018854","PD_269",9
"R_0024830","PD_085",6
"R_0021864","PD_174",2
"R_0028158","PD_135",5
"R_0017818","PD_112",10
"R_0004575","PD_003",11
"R_0010750","PD_184",9
"R_0001027","PD_115",11
"R_0006390","PD_259",8
"R_0005601","PD_115",10
"R_0003055","PD_078",4
"R_0034584","PD_108",11
"R_0030284","PD_115",6
"R_0010954","PD_216",3
"R_0036874","PD_183",3
"R_0015322","PD_117",6
"R_0040982","PD_225",11
"R_0005689","PD_078",6
"R_0001207","PD_134",11
"R_0043616","PD_225",8
"R_0034370","PD_197",9
"R_0028814","PD_078",5
"R_0031133","PD_174",8
"R_0020507","PD_090",10
"R_0005403","PD_201",1
"R_0025847","PD_093",1
"R_0013571","PD_218",8
"R_0010577","PD_093",8
"R_0020285","PD_003",3
"R_0002806","PD_269",1
"R_0036918","PD_085",3
"R_0017452","PD_078",8
"R_0037516","PD_084",9
"R_0001784","PD_256",6
"R_0032240","PD_093",1
"R_0003877","PD_115",9
"R_0024400","PD_003",6
"R_0037207","PD_173",6
"R_0019387","PD_117",11
"R_0019169","PD_108",9
"R_0004873","PD_003",9
"R_0006713","PD_093",3
"R_0004237","PD_268",10
"R_0008606","PD_093",3
"R_0007552","PD_084",11
"R_0041737","PD_093",10
"R_0031574","PD_256",7
"R_0014535","PD_134",9
"R_0035232","PD_174",10
"R_0010428","PD_217",4
"R_0022683","PD_115",10
"R_0003167","PD_090",10
"R_0007547","PD_108",11
"R_0029316","PD_216",11
"R_0038445","PD_224",3
"R_0000262","PD_085",7
"R_0035726","PD_174",8
"R_0014825","PD_268",1
"R_0022862","PD_201",2
"R_0006824","PD_134",1
"R_0024719","PD_003",8
"R_0033246","PD_003",1
"R_0024168","PD_225",9
"R_0006698","PD_109",10
"R_0028801","PD_256",1
"R_0006901","PD_134",6
"R_0044845","PD_201",1
"R_0005020","PD_215",9
"R_0031531","PD_002",1
"R_0024221","PD_108",3
"R_0014248","PD_197",1
"R_0035257","PD_112",8
"R_0005105","PD_003",8
"R_0032204","PD_174",10
"R_0013009","PD_218",10
"R_0007195","PD_197",10
"R_0034973","PD_258",5
"R_0029011","PD_255",9
"R_0025411","PD_258",4
"R_0044158","PD_003",10
"R_0003696","PD_184",1
"R_0028469","PD_125",3
"R_0003839","PD_216",3
"R_0003869","PD_003",11
"R_0006494","PD_197",5
"R_0019953","PD_255",1
"R_0009181","PD_201",3
"R_0042749","PD_078",10
"R_0015843","PD_198",5
"R_0032966","PD_224",5
"R_0035145","PD_256",10
"R_0004479","PD_085",9
"R_0005740","PD_269",10
"R_0021865","PD_187",9
"R_0008349","PD_114",9
"R_0003187","PD_078",10
"R_0026108","PD_218",9
"R_0030151","PD_114",11
"R_0016359","PD_091",10
"R_0040086","PD_215",2
"R_0029802","PD_225",9
"R_0043614","PD_109",2
"R_0020332","PD_256",9
"R_0003269","PD_261",11
"R_0003179","PD_217",1
"R_0015468","PD_087",9
"R_0040809","PD_108",1
"R_0034813","PD_225",8
"R_0033212","PD_259",2
"R_0027998","PD_258",3
"R_0027198","PD_187",11
"R_0043490","PD_115",8
"R_0041635","PD_201",7
"R_0038536","PD_084",11
"R_0025235","PD_258",1
"R_0009891","PD_117",3
"R_0022811","PD_117",8
"R_0001908","PD_117",6
"R_0015945","PD_268",10
"R_0004748","PD_224",3
"R_0008539","PD_255",9
"R_0030415","PD_200",5
"R_0011066","PD_217",2
"R_0029379","PD_112",11
"R_0028249","PD_115",10
"R_0036781","PD_218",11
"R_0018293","PD_215",1
"R_0010852","PD_269",10
"R_0028623","PD_255",1
"R_0024711","PD_111",10
"R_0012010","PD_108",7
"R_0040156","PD_255",8
"R_0024633","PD_186",11
"R_0005406","PD_002",8
"R_0017306","PD_184",11
"R_0008844","PD_118",10
"R_0009949","PD_091",9
"R_0016606","PD_091",5
"R_0025143","PD_115",5
"R_0017311","PD_184",8
"R_0006863","PD_173",1
"R_0008249","PD_262",11
"R_0033036","PD_003",11
"R_0019726","PD_114",6
"R_0023796","PD_258",3
"R_0036669","PD_216",10
"R_0025813","PD_268",2
"R_0036439","PD_002",2
"R_0032238","PD_084",12
"R_0026897","PD_262",2
"R_0031385","PD_091",11
"R_0039398","PD_134",1
"R_0031721","PD_184",10
"R_0008390","PD_218",1
