"order_id","order_date","store_id"
"R_0001697",2016-05-28,"TW_10097"
"R_0038965",2016-05-28,"TW_10072"
"R_0001959",2016-07-02,"TW_10045"
"R_0041008",2016-05-21,"TW_10146"
"R_0029507",2016-04-16,"TW_10072"
"R_0020811",2016-04-16,"TW_10040"
"R_0036409",2016-08-27,"TW_10159"
"R_0034568",2016-03-26,"TW_10057"
"R_0012814",2016-05-07,"TW_10029"
"R_0018123",2016-05-07,"TW_10012"
"R_0021049",2016-07-09,"TW_10132"
"R_0027320",2016-02-13,"TW_10101"
"R_0018236",2016-08-06,"TW_10111"
"R_0009492",2016-03-05,"TW_10024"
"R_0025453",2016-02-13,"TW_10139"
"R_0010753",2016-03-12,"TW_10019"
"R_0015844",2016-02-27,"TW_10163"
"R_0039221",2016-07-23,"TW_10027"
"R_0011792",2016-07-30,"TW_10039"
"R_0044513",2016-05-21,"TW_10093"
"R_0010531",2016-09-10,"TW_10060"
"R_0005549",2016-02-20,"TW_10064"
"R_0041066",2016-04-09,"TW_10026"
"R_0035240",2016-01-09,"TW_10131"
"R_0008792",2016-02-13,"TW_10132"
"R_0017594",2016-08-20,"TW_10043"
"R_0028419",2016-08-13,"TW_10044"
"R_0022337",2016-07-09,"TW_10077"
"R_0042006",2016-08-13,"TW_10092"
"R_0040209",2016-03-26,"TW_10070"
"R_0001681",2016-03-05,"TW_10165"
"R_0004003",2016-03-05,"TW_10001"
"R_0011103",2016-05-07,"TW_10135"
"R_0003982",2016-01-02,"TW_10169"
"R_0025852",2016-07-30,"TW_10062"
"R_0033629",2016-09-24,"TW_10020"
"R_0021178",2016-05-14,"TW_10146"
"R_0041756",2016-02-06,"TW_10154"
"R_0025245",2016-05-28,"TW_10069"
"R_0043020",2016-08-06,"TW_10088"
"R_0039198",2016-05-21,"TW_10003"
"R_0026394",2016-09-17,"TW_10132"
"R_0035658",2016-03-19,"TW_10068"
"R_0043966",2016-05-07,"TW_10176"
"R_0033580",2016-02-13,"TW_10117"
"R_0039162",2016-09-24,"TW_10043"
"R_0009880",2016-09-03,"TW_10149"
"R_0012236",2016-01-30,"TW_10135"
"R_0025103",2016-05-14,"TW_10172"
"R_0006355",2016-09-03,"TW_10059"
"R_0036256",2016-01-23,"TW_10081"
"R_0020795",2016-08-27,"TW_10102"
"R_0043161",2016-02-13,"TW_10169"
"R_0038458",2016-03-05,"TW_10003"
"R_0038375",2016-01-16,"TW_10154"
"R_0026718",2016-07-16,"TW_10095"
"R_0032546",2016-03-19,"TW_10038"
"R_0024904",2016-09-03,"TW_10035"
"R_0010140",2016-01-09,"TW_10031"
"R_0044153",2016-05-28,"TW_10146"
"R_0010700",2016-03-12,"TW_10128"
"R_0019200",2016-02-06,"TW_10081"
"R_0009045",2016-09-03,"TW_10117"
"R_0029458",2016-07-16,"TW_10109"
"R_0000999",2016-02-06,"TW_10035"
"R_0025429",2016-08-06,"TW_10132"
"R_0019170",2016-09-17,"TW_10016"
"R_0000667",2016-05-28,"TW_10141"
"R_0024282",2016-01-16,"TW_10146"
"R_0001555",2016-03-12,"TW_10159"
"R_0015885",2016-06-11,"TW_10064"
"R_0029162",2016-08-27,"TW_10112"
"R_0025890",2016-07-23,"TW_10008"
"R_0017564",2016-09-17,"TW_10119"
"R_0036023",2016-06-25,"TW_10123"
"R_0037970",2016-04-16,"TW_10046"
"R_0041248",2016-02-06,"TW_10171"
"R_0000959",2016-03-26,"TW_10112"
"R_0012892",2016-07-16,"TW_10062"
"R_0013977",2016-05-21,"TW_10161"
"R_0010486",2016-09-24,"TW_10010"
"R_0004487",2016-04-23,"TW_10136"
"R_0034064",2016-04-02,"TW_10027"
"R_0006279",2016-02-20,"TW_10084"
"R_0023679",2016-07-23,"TW_10046"
"R_0016392",2016-07-09,"TW_10127"
"R_0022492",2016-07-02,"TW_10032"
"R_0013027",2016-04-02,"TW_10015"
"R_0025486",2016-06-18,"TW_10164"
"R_0004901",2016-08-27,"TW_10150"
"R_0017556",2016-06-18,"TW_10019"
"R_0043584",2016-06-11,"TW_10009"
"R_0027169",2016-09-17,"TW_10107"
"R_0026527",2016-03-19,"TW_10122"
"R_0016060",2016-04-02,"TW_10025"
"R_0003512",2016-04-23,"TW_10076"
"R_0026490",2016-02-06,"TW_10173"
"R_0028398",2016-06-18,"TW_10081"
"R_0021900",2016-09-17,"TW_10033"
"R_0032080",2016-08-13,"TW_10029"
"R_0040962",2016-01-09,"TW_10082"
"R_0007603",2016-08-06,"TW_10071"
"R_0033261",2016-04-16,"TW_10109"
"R_0001491",2016-07-09,"TW_10122"
"R_0016394",2016-03-19,"TW_10114"
"R_0033834",2016-02-27,"TW_10008"
"R_0022133",2016-01-23,"TW_10069"
"R_0013777",2016-08-27,"TW_10055"
"R_0005017",2016-08-13,"TW_10088"
"R_0012914",2016-02-20,"TW_10006"
"R_0000573",2016-05-14,"TW_10122"
"R_0024882",2016-07-02,"TW_10017"
"R_0015530",2016-01-16,"TW_10011"
"R_0022685",2016-09-10,"TW_10004"
"R_0035250",2016-09-24,"TW_10029"
"R_0014657",2016-01-23,"TW_10102"
"R_0042509",2016-01-30,"TW_10167"
"R_0004712",2016-04-23,"TW_10026"
"R_0025086",2016-03-05,"TW_10027"
"R_0022907",2016-04-09,"TW_10125"
"R_0037043",2016-09-24,"TW_10116"
"R_0029526",2016-08-27,"TW_10138"
"R_0044214",2016-05-07,"TW_10092"
"R_0013998",2016-01-09,"TW_10019"
"R_0031994",2016-04-09,"TW_10096"
"R_0030182",2016-09-10,"TW_10013"
"R_0011330",2016-08-27,"TW_10156"
"R_0039519",2016-07-16,"TW_10083"
"R_0009729",2016-04-30,"TW_10093"
"R_0029375",2016-06-18,"TW_10052"
"R_0003845",2016-01-30,"TW_10142"
"R_0016295",2016-01-16,"TW_10027"
"R_0037228",2016-01-09,"TW_10164"
"R_0000095",2016-09-03,"TW_10141"
"R_0039428",2016-05-07,"TW_10091"
"R_0023482",2016-06-11,"TW_10086"
"R_0025572",2016-08-06,"TW_10036"
"R_0005093",2016-09-17,"TW_10062"
"R_0015656",2016-03-12,"TW_10122"
"R_0017446",2016-08-27,"TW_10079"
"R_0026564",2016-08-06,"TW_10063"
"R_0036087",2016-07-30,"TW_10169"
"R_0024888",2016-09-03,"TW_10123"
"R_0007992",2016-08-27,"TW_10049"
"R_0022760",2016-04-02,"TW_10011"
"R_0019394",2016-07-09,"TW_10097"
"R_0009290",2016-09-17,"TW_10100"
"R_0028484",2016-07-23,"TW_10062"
"R_0031739",2016-01-30,"TW_10041"
"R_0023763",2016-08-20,"TW_10153"
"R_0012918",2016-07-16,"TW_10056"
"R_0044998",2016-02-20,"TW_10081"
"R_0040355",2016-08-06,"TW_10038"
"R_0039570",2016-09-03,"TW_10118"
"R_0037130",2016-06-25,"TW_10083"
"R_0026635",2016-09-24,"TW_10164"
"R_0006530",2016-02-13,"TW_10101"
"R_0014586",2016-08-13,"TW_10061"
"R_0041722",2016-08-20,"TW_10170"
"R_0005937",2016-01-09,"TW_10041"
"R_0002017",2016-07-16,"TW_10147"
"R_0026204",2016-07-23,"TW_10117"
"R_0020214",2016-05-28,"TW_10085"
"R_0002410",2016-09-10,"TW_10039"
"R_0011393",2016-06-11,"TW_10175"
"R_0026231",2016-05-21,"TW_10121"
"R_0006695",2016-07-02,"TW_10032"
"R_0028239",2016-08-13,"TW_10160"
"R_0024253",2016-01-30,"TW_10076"
"R_0018029",2016-09-17,"TW_10016"
"R_0022202",2016-02-06,"TW_10165"
"R_0019891",2016-05-07,"TW_10087"
"R_0014999",2016-09-03,"TW_10161"
"R_0012583",2016-08-06,"TW_10063"
"R_0040161",2016-01-23,"TW_10131"
"R_0005163",2016-03-19,"TW_10100"
"R_0019280",2016-07-30,"TW_10137"
"R_0042379",2016-03-05,"TW_10176"
"R_0015842",2016-08-06,"TW_10066"
"R_0016031",2016-09-03,"TW_10116"
"R_0025120",2016-08-13,"TW_10074"
"R_0038338",2016-07-30,"TW_10118"
"R_0033703",2016-08-20,"TW_10006"
"R_0020519",2016-09-24,"TW_10027"
"R_0029731",2016-06-11,"TW_10169"
"R_0003661",2016-01-23,"TW_10109"
"R_0025438",2016-05-21,"TW_10155"
"R_0016236",2016-04-30,"TW_10165"
"R_0029769",2016-04-02,"TW_10117"
"R_0031824",2016-04-30,"TW_10078"
"R_0027646",2016-04-09,"TW_10039"
"R_0038714",2016-04-09,"TW_10102"
"R_0005302",2016-07-02,"TW_10031"
"R_0035556",2016-03-19,"TW_10015"
"R_0042886",2016-03-12,"TW_10087"
"R_0020827",2016-06-25,"TW_10001"
"R_0006014",2016-02-13,"TW_10125"
"R_0010759",2016-01-09,"TW_10113"
"R_0039403",2016-03-19,"TW_10116"
"R_0041282",2016-01-23,"TW_10166"
"R_0005842",2016-05-21,"TW_10163"
"R_0036060",2016-06-04,"TW_10020"
"R_0028859",2016-05-28,"TW_10065"
"R_0043868",2016-06-11,"TW_10163"
"R_0023522",2016-02-27,"TW_10086"
"R_0004226",2016-01-30,"TW_10014"
"R_0018400",2016-02-20,"TW_10165"
"R_0006154",2016-01-09,"TW_10166"
"R_0015608",2016-08-06,"TW_10014"
"R_0026575",2016-09-03,"TW_10134"
"R_0044868",2016-08-13,"TW_10038"
"R_0025874",2016-01-02,"TW_10023"
"R_0014408",2016-03-05,"TW_10071"
"R_0014898",2016-01-23,"TW_10109"
"R_0003546",2016-06-25,"TW_10035"
"R_0002729",2016-09-03,"TW_10160"
"R_0034093",2016-03-19,"TW_10082"
"R_0024131",2016-04-23,"TW_10135"
"R_0031742",2016-06-25,"TW_10054"
"R_0038146",2016-06-04,"TW_10060"
"R_0016792",2016-05-14,"TW_10127"
"R_0029250",2016-04-30,"TW_10162"
"R_0017071",2016-05-28,"TW_10053"
"R_0029434",2016-07-09,"TW_10004"
"R_0009455",2016-07-30,"TW_10071"
"R_0032427",2016-04-09,"TW_10150"
"R_0027270",2016-09-10,"TW_10151"
"R_0000072",2016-06-04,"TW_10008"
"R_0008430",2016-08-27,"TW_10160"
"R_0001745",2016-09-03,"TW_10109"
"R_0000127",2016-01-30,"TW_10024"
"R_0003582",2016-03-12,"TW_10062"
"R_0018462",2016-04-23,"TW_10131"
"R_0016484",2016-08-20,"TW_10162"
"R_0014184",2016-07-30,"TW_10165"
"R_0023534",2016-01-23,"TW_10057"
"R_0018839",2016-01-30,"TW_10149"
"R_0040030",2016-07-02,"TW_10146"
"R_0004997",2016-04-23,"TW_10163"
"R_0005079",2016-06-11,"TW_10034"
"R_0033478",2016-08-20,"TW_10083"
"R_0022914",2016-02-27,"TW_10111"
"R_0043781",2016-02-27,"TW_10048"
"R_0012301",2016-08-20,"TW_10061"
"R_0010682",2016-05-07,"TW_10013"
"R_0000559",2016-03-26,"TW_10136"
"R_0019852",2016-06-04,"TW_10087"
"R_0035829",2016-04-30,"TW_10088"
"R_0024344",2016-02-06,"TW_10001"
"R_0034450",2016-03-12,"TW_10005"
"R_0036014",2016-03-26,"TW_10139"
"R_0012824",2016-01-02,"TW_10056"
"R_0001693",2016-03-26,"TW_10148"
"R_0018769",2016-09-17,"TW_10121"
"R_0011381",2016-05-14,"TW_10080"
"R_0014578",2016-06-25,"TW_10156"
"R_0010126",2016-03-05,"TW_10024"
"R_0000712",2016-04-16,"TW_10013"
"R_0011321",2016-01-09,"TW_10016"
"R_0030406",2016-08-06,"TW_10103"
"R_0032181",2016-04-09,"TW_10069"
"R_0038170",2016-07-02,"TW_10075"
"R_0044932",2016-05-07,"TW_10165"
"R_0021597",2016-03-19,"TW_10160"
"R_0039573",2016-05-21,"TW_10077"
"R_0024617",2016-04-02,"TW_10115"
"R_0011301",2016-09-24,"TW_10091"
"R_0032823",2016-01-09,"TW_10101"
"R_0035719",2016-09-03,"TW_10005"
"R_0034011",2016-01-23,"TW_10106"
"R_0004450",2016-01-09,"TW_10143"
"R_0030304",2016-07-16,"TW_10036"
"R_0021548",2016-05-21,"TW_10102"
"R_0040653",2016-03-12,"TW_10033"
"R_0035665",2016-05-28,"TW_10005"
"R_0041415",2016-05-14,"TW_10058"
"R_0019430",2016-07-09,"TW_10102"
"R_0028779",2016-08-13,"TW_10065"
"R_0011314",2016-08-27,"TW_10011"
"R_0009970",2016-09-03,"TW_10118"
"R_0020464",2016-04-09,"TW_10128"
"R_0012394",2016-03-19,"TW_10140"
"R_0043964",2016-04-09,"TW_10121"
"R_0002086",2016-07-30,"TW_10107"
"R_0027991",2016-09-03,"TW_10084"
"R_0029267",2016-08-13,"TW_10093"
"R_0016212",2016-03-19,"TW_10148"
"R_0009027",2016-04-23,"TW_10033"
"R_0018006",2016-02-13,"TW_10063"
"R_0031405",2016-02-20,"TW_10125"
"R_0011358",2016-01-16,"TW_10063"
"R_0015010",2016-08-06,"TW_10061"
"R_0024266",2016-01-23,"TW_10072"
"R_0016860",2016-03-19,"TW_10054"
"R_0006109",2016-08-06,"TW_10051"
"R_0019097",2016-03-19,"TW_10032"
"R_0043548",2016-03-12,"TW_10173"
"R_0012865",2016-01-02,"TW_10110"
"R_0037903",2016-08-13,"TW_10158"
"R_0040265",2016-08-27,"TW_10092"
"R_0000919",2016-05-14,"TW_10150"
"R_0007867",2016-01-16,"TW_10051"
"R_0029516",2016-07-30,"TW_10031"
"R_0019371",2016-08-27,"TW_10040"
"R_0039129",2016-01-23,"TW_10121"
"R_0016960",2016-04-30,"TW_10086"
"R_0023061",2016-03-26,"TW_10036"
"R_0043236",2016-04-23,"TW_10045"
"R_0016711",2016-04-30,"TW_10114"
"R_0009769",2016-01-09,"TW_10049"
"R_0003785",2016-02-27,"TW_10124"
"R_0020252",2016-06-04,"TW_10045"
"R_0021364",2016-04-09,"TW_10099"
"R_0031681",2016-06-18,"TW_10027"
"R_0027263",2016-03-19,"TW_10041"
"R_0012556",2016-06-11,"TW_10155"
"R_0038733",2016-01-09,"TW_10117"
"R_0026241",2016-08-27,"TW_10050"
"R_0044171",2016-05-14,"TW_10126"
"R_0035730",2016-08-13,"TW_10094"
"R_0039771",2016-06-11,"TW_10089"
"R_0006915",2016-08-20,"TW_10176"
"R_0038420",2016-07-30,"TW_10127"
"R_0041701",2016-01-02,"TW_10125"
"R_0015972",2016-02-13,"TW_10075"
"R_0020194",2016-02-13,"TW_10173"
"R_0025909",2016-07-30,"TW_10167"
"R_0032407",2016-03-26,"TW_10139"
"R_0018208",2016-03-05,"TW_10161"
"R_0039359",2016-01-16,"TW_10021"
"R_0039505",2016-07-02,"TW_10102"
"R_0023017",2016-03-26,"TW_10046"
"R_0006345",2016-01-02,"TW_10002"
"R_0016418",2016-09-03,"TW_10045"
"R_0000332",2016-01-02,"TW_10128"
"R_0035529",2016-07-02,"TW_10018"
"R_0014580",2016-01-09,"TW_10009"
"R_0008740",2016-08-06,"TW_10118"
"R_0017393",2016-02-27,"TW_10099"
"R_0017206",2016-05-14,"TW_10110"
"R_0035942",2016-09-24,"TW_10079"
"R_0032857",2016-06-04,"TW_10065"
"R_0013761",2016-04-23,"TW_10146"
"R_0033236",2016-08-06,"TW_10022"
"R_0020684",2016-08-27,"TW_10140"
"R_0008304",2016-06-04,"TW_10117"
"R_0019205",2016-02-13,"TW_10080"
"R_0011696",2016-02-27,"TW_10137"
"R_0023641",2016-06-04,"TW_10104"
"R_0023571",2016-02-06,"TW_10166"
"R_0002506",2016-08-20,"TW_10016"
"R_0014776",2016-09-17,"TW_10090"
"R_0002292",2016-01-30,"TW_10021"
"R_0041239",2016-01-09,"TW_10094"
"R_0007492",2016-06-18,"TW_10018"
"R_0033744",2016-02-20,"TW_10100"
"R_0013973",2016-02-06,"TW_10049"
"R_0013218",2016-06-18,"TW_10120"
"R_0006895",2016-08-06,"TW_10053"
"R_0008847",2016-02-20,"TW_10136"
"R_0001949",2016-07-23,"TW_10090"
"R_0039832",2016-07-02,"TW_10173"
"R_0033138",2016-08-13,"TW_10116"
"R_0010386",2016-09-17,"TW_10149"
"R_0027346",2016-08-27,"TW_10003"
"R_0007123",2016-02-13,"TW_10042"
"R_0026242",2016-09-03,"TW_10141"
"R_0042608",2016-01-16,"TW_10097"
"R_0037663",2016-09-24,"TW_10083"
"R_0038925",2016-02-13,"TW_10172"
"R_0035753",2016-07-16,"TW_10027"
"R_0017987",2016-09-10,"TW_10070"
"R_0024009",2016-06-18,"TW_10046"
"R_0006141",2016-01-02,"TW_10125"
"R_0018511",2016-04-30,"TW_10119"
"R_0024015",2016-05-07,"TW_10146"
"R_0036095",2016-08-06,"TW_10089"
"R_0023430",2016-07-23,"TW_10052"
"R_0008501",2016-06-25,"TW_10006"
"R_0016280",2016-09-17,"TW_10028"
"R_0017114",2016-09-03,"TW_10074"
"R_0040709",2016-02-27,"TW_10128"
"R_0010836",2016-05-07,"TW_10121"
"R_0032057",2016-03-19,"TW_10021"
"R_0037486",2016-06-25,"TW_10128"
"R_0000008",2016-04-16,"TW_10073"
"R_0017161",2016-01-23,"TW_10062"
"R_0036106",2016-08-27,"TW_10129"
"R_0022733",2016-02-13,"TW_10127"
"R_0006568",2016-07-09,"TW_10173"
"R_0039947",2016-05-21,"TW_10046"
"R_0044601",2016-04-16,"TW_10107"
"R_0035966",2016-06-25,"TW_10102"
"R_0027179",2016-09-24,"TW_10168"
"R_0018386",2016-02-13,"TW_10120"
"R_0019653",2016-04-16,"TW_10057"
"R_0010059",2016-03-05,"TW_10075"
"R_0001930",2016-09-17,"TW_10019"
"R_0043661",2016-01-09,"TW_10174"
"R_0031329",2016-04-23,"TW_10012"
"R_0039787",2016-06-25,"TW_10136"
"R_0041242",2016-09-03,"TW_10026"
"R_0016390",2016-06-04,"TW_10122"
"R_0025124",2016-09-10,"TW_10102"
"R_0042783",2016-08-06,"TW_10124"
"R_0017958",2016-02-13,"TW_10130"
"R_0034508",2016-03-26,"TW_10070"
"R_0041739",2016-08-13,"TW_10055"
"R_0037300",2016-06-11,"TW_10045"
"R_0012116",2016-04-16,"TW_10079"
"R_0044338",2016-04-16,"TW_10123"
"R_0023537",2016-08-20,"TW_10111"
"R_0002723",2016-03-05,"TW_10075"
"R_0011941",2016-03-12,"TW_10002"
"R_0001955",2016-08-06,"TW_10095"
"R_0001968",2016-02-27,"TW_10131"
"R_0042405",2016-09-03,"TW_10096"
"R_0018761",2016-03-12,"TW_10031"
"R_0004565",2016-09-03,"TW_10098"
"R_0009101",2016-04-23,"TW_10097"
"R_0005831",2016-05-07,"TW_10150"
"R_0014407",2016-03-26,"TW_10073"
"R_0040627",2016-09-03,"TW_10029"
"R_0015444",2016-01-09,"TW_10086"
"R_0019552",2016-09-24,"TW_10076"
"R_0015027",2016-08-13,"TW_10074"
"R_0008931",2016-09-17,"TW_10132"
"R_0014540",2016-05-07,"TW_10166"
"R_0015026",2016-02-06,"TW_10149"
"R_0007364",2016-04-23,"TW_10118"
"R_0021551",2016-07-02,"TW_10002"
"R_0008451",2016-06-04,"TW_10173"
"R_0008469",2016-06-11,"TW_10028"
"R_0021294",2016-07-02,"TW_10009"
"R_0012840",2016-08-06,"TW_10078"
"R_0023244",2016-07-16,"TW_10007"
"R_0038346",2016-08-20,"TW_10098"
"R_0017207",2016-06-11,"TW_10097"
"R_0037599",2016-04-30,"TW_10019"
"R_0014881",2016-06-25,"TW_10088"
"R_0011739",2016-08-27,"TW_10139"
"R_0024770",2016-01-30,"TW_10125"
"R_0023012",2016-07-09,"TW_10045"
"R_0012009",2016-03-26,"TW_10172"
"R_0015413",2016-09-10,"TW_10013"
"R_0026434",2016-04-02,"TW_10170"
"R_0008777",2016-03-19,"TW_10010"
"R_0041072",2016-01-16,"TW_10133"
"R_0020051",2016-07-09,"TW_10009"
"R_0016131",2016-05-14,"TW_10165"
"R_0000924",2016-06-11,"TW_10074"
"R_0029510",2016-04-02,"TW_10106"
"R_0012245",2016-02-13,"TW_10127"
"R_0025622",2016-02-06,"TW_10134"
"R_0036339",2016-09-17,"TW_10175"
"R_0020876",2016-05-14,"TW_10086"
"R_0016911",2016-05-21,"TW_10153"
"R_0024094",2016-04-02,"TW_10089"
"R_0025689",2016-01-16,"TW_10159"
"R_0018974",2016-01-16,"TW_10107"
"R_0011842",2016-08-06,"TW_10137"
"R_0026778",2016-06-04,"TW_10155"
"R_0031644",2016-03-12,"TW_10075"
"R_0019590",2016-02-06,"TW_10036"
"R_0002063",2016-08-13,"TW_10011"
"R_0039647",2016-07-02,"TW_10119"
"R_0016193",2016-09-10,"TW_10049"
"R_0029195",2016-03-05,"TW_10024"
"R_0026675",2016-07-23,"TW_10029"
"R_0012467",2016-09-17,"TW_10023"
"R_0006219",2016-06-11,"TW_10020"
"R_0001743",2016-06-25,"TW_10087"
"R_0006703",2016-04-30,"TW_10029"
"R_0042770",2016-02-13,"TW_10108"
"R_0042345",2016-01-02,"TW_10146"
"R_0043629",2016-08-27,"TW_10049"
"R_0041958",2016-07-30,"TW_10120"
"R_0040538",2016-02-20,"TW_10041"
"R_0041948",2016-06-25,"TW_10064"
"R_0008312",2016-08-20,"TW_10064"
"R_0015511",2016-08-27,"TW_10120"
"R_0017303",2016-04-09,"TW_10087"
"R_0028557",2016-06-11,"TW_10044"
"R_0000657",2016-04-09,"TW_10134"
"R_0038505",2016-03-05,"TW_10006"
"R_0021160",2016-03-05,"TW_10035"
"R_0023339",2016-04-16,"TW_10138"
"R_0039507",2016-09-24,"TW_10025"
"R_0011585",2016-03-05,"TW_10066"
"R_0024262",2016-01-30,"TW_10016"
"R_0033536",2016-01-16,"TW_10165"
"R_0018981",2016-03-19,"TW_10139"
"R_0002630",2016-05-21,"TW_10111"
"R_0023937",2016-01-16,"TW_10130"
"R_0018171",2016-01-02,"TW_10107"
"R_0003432",2016-01-23,"TW_10096"
"R_0007890",2016-06-04,"TW_10131"
"R_0021515",2016-03-26,"TW_10156"
"R_0045015",2016-05-28,"TW_10050"
"R_0008010",2016-02-06,"TW_10076"
"R_0027974",2016-07-16,"TW_10024"
"R_0006659",2016-08-20,"TW_10113"
"R_0043384",2016-05-21,"TW_10163"
"R_0018258",2016-02-20,"TW_10065"
"R_0035238",2016-04-09,"TW_10097"
"R_0028169",2016-02-27,"TW_10127"
"R_0035034",2016-03-12,"TW_10016"
"R_0012222",2016-09-17,"TW_10109"
"R_0042351",2016-07-16,"TW_10101"
"R_0023055",2016-05-14,"TW_10004"
"R_0031521",2016-09-17,"TW_10073"
"R_0014493",2016-03-26,"TW_10094"
"R_0042914",2016-08-13,"TW_10031"
"R_0035975",2016-07-16,"TW_10173"
"R_0025645",2016-07-16,"TW_10087"
"R_0007455",2016-07-16,"TW_10107"
"R_0001313",2016-09-10,"TW_10119"
"R_0011208",2016-02-20,"TW_10097"
"R_0035358",2016-09-24,"TW_10014"
"R_0026015",2016-08-06,"TW_10084"
"R_0007981",2016-02-20,"TW_10105"
"R_0041751",2016-04-02,"TW_10019"
"R_0004378",2016-07-09,"TW_10057"
"R_0000207",2016-08-06,"TW_10004"
"R_0026281",2016-01-09,"TW_10006"
"R_0003289",2016-03-05,"TW_10102"
"R_0003353",2016-02-13,"TW_10172"
"R_0020789",2016-04-02,"TW_10024"
"R_0030888",2016-08-06,"TW_10007"
"R_0022036",2016-01-02,"TW_10024"
"R_0038134",2016-03-05,"TW_10117"
"R_0021808",2016-07-02,"TW_10030"
"R_0038632",2016-05-14,"TW_10114"
"R_0022938",2016-06-18,"TW_10113"
"R_0016081",2016-06-04,"TW_10137"
"R_0015001",2016-01-02,"TW_10059"
"R_0031551",2016-07-16,"TW_10149"
"R_0018086",2016-04-16,"TW_10074"
"R_0014318",2016-04-02,"TW_10161"
"R_0042189",2016-02-06,"TW_10006"
"R_0037419",2016-07-02,"TW_10062"
"R_0031696",2016-03-19,"TW_10150"
"R_0042357",2016-06-18,"TW_10009"
"R_0010902",2016-05-28,"TW_10097"
"R_0000765",2016-04-16,"TW_10004"
"R_0034712",2016-03-26,"TW_10160"
"R_0023772",2016-02-20,"TW_10053"
"R_0028208",2016-08-06,"TW_10025"
"R_0027855",2016-04-02,"TW_10037"
"R_0014080",2016-06-04,"TW_10054"
"R_0028740",2016-05-07,"TW_10066"
"R_0028661",2016-06-18,"TW_10028"
"R_0016239",2016-05-28,"TW_10121"
"R_0036211",2016-01-16,"TW_10006"
"R_0021459",2016-05-21,"TW_10052"
"R_0009837",2016-06-04,"TW_10042"
"R_0024141",2016-03-12,"TW_10053"
"R_0030693",2016-09-17,"TW_10111"
"R_0022637",2016-07-23,"TW_10018"
"R_0016429",2016-02-06,"TW_10127"
"R_0025628",2016-09-17,"TW_10062"
"R_0019680",2016-02-27,"TW_10157"
"R_0016009",2016-09-10,"TW_10087"
"R_0044085",2016-04-02,"TW_10013"
"R_0011529",2016-05-14,"TW_10032"
"R_0029646",2016-07-09,"TW_10094"
"R_0011265",2016-04-02,"TW_10009"
"R_0029388",2016-02-20,"TW_10162"
"R_0040259",2016-01-30,"TW_10154"
"R_0008053",2016-09-24,"TW_10088"
"R_0016118",2016-02-27,"TW_10106"
"R_0032659",2016-07-16,"TW_10043"
"R_0012695",2016-08-20,"TW_10075"
"R_0044607",2016-02-27,"TW_10138"
"R_0021169",2016-04-16,"TW_10173"
"R_0024842",2016-03-19,"TW_10132"
"R_0020490",2016-07-23,"TW_10060"
